UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast
2023-10-14 03:00:00,2024-07-17 00:00:00,3.1,2.7642861601409257,280.9074874442143,272.3540923404586,3.5419511817915144,0.0148744041560482,2592.56576,173.73039,569.23735,34.64643,631.90516
2023-10-14 04:00:00,2024-07-17 00:00:00,3.1,2.557184170105942,279.8376288187165,272.2997916640994,1.7709835019103162,0.0198332359477734,2501.89487,182.18599,571.90809,30.2622,570.55477
2023-10-14 05:00:00,2024-07-17 00:00:00,3.1,2.557184170105942,279.8376288187165,272.2997916640994,1.7709835019103162,0.0198332359477734,2485.79662,183.63448,533.41151,23.62855,555.07899
2023-10-14 06:00:00,2024-07-17 00:00:00,3.1,2.557184170105942,279.8376288187165,272.2997916640994,1.7709835019103162,0.0198332359477734,2461.68618,189.65398,506.96841,14.78121,516.836
2023-10-14 07:00:00,2024-07-17 00:00:00,3.1,2.474346136698644,279.103984580639,272.1633917235912,0.0,0.0043889532114914,2437.88309,178.22262,490.11132,9.47466,498.69338
2023-10-14 08:00:00,2024-07-17 00:00:00,3.1,2.474346136698644,279.103984580639,272.1633917235912,0.0,0.0043889532114914,2346.36366,169.59303,443.37704,5.18519,517.36504
2023-10-14 09:00:00,2024-07-17 00:00:00,3.1,2.474346136698644,279.103984580639,272.1633917235912,0.0,0.0043889532114914,2290.04883,169.28585,460.57713,0.0,563.83082
2023-10-14 10:00:00,2024-07-17 00:00:00,3.1,2.4199811735964194,278.4776078083139,271.945239927217,0.0,0.0060371218683693,2255.25636,173.83774,473.49494,0.0,584.85733
2023-10-14 11:00:00,2024-07-17 00:00:00,3.1,2.4199811735964194,278.4776078083139,271.945239927217,0.0,0.0060371218683693,2223.63729,184.61877,440.26099,0.0,599.75455
2023-10-14 12:00:00,2024-07-17 00:00:00,3.1,2.4199811735964194,278.4776078083139,271.945239927217,0.0,0.0060371218683693,2224.32965,186.25033,465.3701,5.07071,589.45391
2023-10-14 13:00:00,2024-07-17 00:00:00,3.1,2.4813099714340536,281.52222824074096,272.309330695521,63.23480343253859,0.0007554025273618,2274.29388,187.72492,479.61653,9.76118,589.62604
2023-10-14 14:00:00,2024-07-17 00:00:00,3.1,2.4813099714340536,281.52222824074096,272.309330695521,63.23480343253859,0.0007554025273618,2291.02232,185.1232,438.94534,14.92522,568.86202
2023-10-14 15:00:00,2024-07-17 00:00:00,3.1,2.4813099714340536,281.52222824074096,272.309330695521,63.23480343253859,0.0007554025273618,2336.93853,193.10669,458.29936,19.33189,541.69889
2023-10-14 16:00:00,2024-07-17 00:00:00,3.1,2.834206032256703,286.5989316270376,271.9332668679857,259.27828541652866,0.0024010757626012,2368.21672,196.56583,475.11904,25.83611,542.37431
2023-10-14 17:00:00,2024-07-17 00:00:00,3.1,2.834206032256703,286.5989316270376,271.9332668679857,259.27828541652866,0.0024010757626012,2391.36899,193.1537,480.02646,32.02061,532.06252
2023-10-14 18:00:00,2024-07-17 00:00:00,3.1,2.834206032256703,286.5989316270376,271.9332668679857,259.27828541652866,0.0024010757626012,2429.46815,188.06047,470.50752,35.71901,508.98685
