UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast,avg_other_production_forecast
2023-03-24 20:00:00,2024-07-17 00:00:00,3.1,4.6852106066902754,295.5533010689319,270.9406340662026,901.0063811245708,0.0026586846668923,6215.46021,8585.22587,11381.38412,3792.95204,234.22577,16452.9458,120.86511
2023-03-24 21:00:00,2024-07-17 00:00:00,3.1,4.6852106066902754,295.5533010689319,270.9406340662026,901.0063811245708,0.0026586846668923,6103.86622,8216.65206,11471.90697,3793.34164,242.64312,17642.05746,119.7291
2023-03-24 22:00:00,2024-07-17 00:00:00,3.1,3.93150724742747,293.7660118261682,272.98031807700244,682.2627761729779,0.0048500263687826,5998.9824,7906.10707,11694.27089,3795.21474,235.90968,18585.28824,121.26625
2023-03-24 23:00:00,2024-07-17 00:00:00,3.1,3.93150724742747,293.7660118261682,272.98031807700244,682.2627761729779,0.0048500263687826,5880.88733,6939.78752,12096.53341,3798.74153,243.50699,18900.45796,120.90452
2023-03-25 00:00:00,2024-07-17 00:00:00,3.1,3.93150724742747,293.7660118261682,272.98031807700244,682.2627761729779,0.0048500263687826,5421.97228,5917.31205,12447.73703,3767.41698,70.64015,20255.18074,103.78046
2023-03-25 01:00:00,2024-07-17 00:00:00,3.1,3.4352745058754817,289.0310492071086,272.3072187802943,15.014895305460428,6.192792271590724e-05,5401.9772,3162.16201,13180.97323,3767.97115,130.88884,20056.62823,90.85667
2023-03-25 02:00:00,2024-07-17 00:00:00,3.1,3.4352745058754817,289.0310492071086,272.3072187802943,15.014895305460428,6.192792271590724e-05,5387.64058,835.72784,13813.81623,3769.25584,125.32821,19612.65195,73.98019
2023-03-25 03:00:00,2024-07-17 00:00:00,3.1,3.4352745058754817,289.0310492071086,272.3072187802943,15.014895305460428,6.192792271590724e-05,5417.12243,0.0,14431.2165,3773.95552,119.09426,18743.81329,62.79663
2023-03-25 04:00:00,2024-07-17 00:00:00,3.1,3.230243842099921,287.232389975027,273.1103206787275,7.507486422337095,0.000397867032982,5494.78288,0.0,14922.39261,3776.38961,119.5794,17691.89207,48.22561
2023-03-25 05:00:00,2024-07-17 00:00:00,3.1,3.230243842099921,287.232389975027,273.1103206787275,7.507486422337095,0.000397867032982,5529.61622,0.0,15221.41012,3777.91995,135.72301,16430.98391,28.95935
2023-03-25 06:00:00,2024-07-17 00:00:00,3.1,3.230243842099921,287.232389975027,273.1103206787275,7.507486422337095,0.000397867032982,5550.76123,3.45819,15285.79656,3778.1081,219.25129,15229.77373,14.44119
2023-03-25 07:00:00,2024-07-17 00:00:00,3.1,2.9661579696655944,285.9416703881759,274.087419050177,0.0,0.0032747364351702,5570.86225,0.0,15221.5199,3784.73414,228.23287,14303.02086,2.06041
2023-03-25 08:00:00,2024-07-17 00:00:00,3.1,2.9661579696655944,285.9416703881759,274.087419050177,0.0,0.0032747364351702,5568.3926,252.88321,14949.0429,3787.08386,230.81047,13726.83342,0.0
2023-03-25 09:00:00,2024-07-17 00:00:00,3.1,2.9661579696655944,285.9416703881759,274.087419050177,0.0,0.0032747364351702,5629.87611,148.91937,14512.18718,3789.11135,226.74442,13152.21489,0.0
2023-03-25 10:00:00,2024-07-17 00:00:00,3.1,3.0046060241419665,285.1320865778744,274.7128602530145,0.0,0.0079131271742997,5778.40721,0.0,13994.80943,3790.29002,233.66994,12590.75042,0.0
2023-03-25 11:00:00,2024-07-17 00:00:00,3.1,3.0046060241419665,285.1320865778744,274.7128602530145,0.0,0.0079131271742997,5902.90023,0.0,13460.52765,3791.95798,248.19104,12296.06164,0.0
2023-03-25 12:00:00,2024-07-17 00:00:00,3.1,3.0046060241419665,285.1320865778744,274.7128602530145,0.0,0.0079131271742997,6096.11769,0.0,12916.60142,3794.2494,262.3963,12515.17152,5.18763
2023-03-25 13:00:00,2024-07-17 00:00:00,3.1,3.884208877351997,289.797561294482,276.48106059574894,167.7252517930291,0.0142153804376125,6230.34409,1537.87458,12274.76231,3797.49365,258.18848,12752.25756,27.14948
2023-03-25 14:00:00,2024-07-17 00:00:00,3.1,3.884208877351997,289.797561294482,276.48106059574894,167.7252517930291,0.0142153804376125,6399.49399,3603.05615,11679.6849,3799.85805,269.01988,12703.8967,45.79162
2023-03-25 15:00:00,2024-07-17 00:00:00,3.1,3.884208877351997,289.797561294482,276.48106059574894,167.7252517930291,0.0142153804376125,6669.53348,5780.34911,11218.27896,3803.42382,256.0429,13018.47808,55.52074
2023-03-25 16:00:00,2024-07-17 00:00:00,3.1,4.412310113814116,294.5863908591369,276.80436439164305,432.5263222421846,0.082552653118733,6859.29342,7687.50059,10939.07138,3805.58219,256.54796,13606.11945,66.65021
