UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_nat_gas_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast,avg_biomass_production_forecast,avg_unknown_production_forecast
2023-05-16 22:00:00,2024-07-17 00:00:00,3.1,3.089707452319324,277.9489766945634,276.574253805312,0.4758840775770497,0.0849476623999173,58.14104,27.61388,0.0,164.07527,68.13752,8.3585
2023-05-16 23:00:00,2024-07-17 00:00:00,3.1,3.089707452319324,277.9489766945634,276.574253805312,0.4758840775770497,0.0849476623999173,58.69378,26.83277,0.0,162.38943,68.32723,8.48488
2023-05-17 00:00:00,2024-07-17 00:00:00,3.1,3.089707452319324,277.9489766945634,276.574253805312,0.4758840775770497,0.0849476623999173,30.38708,23.39309,0.0,169.33554,68.17689,7.57801
2023-05-17 01:00:00,2024-07-17 00:00:00,3.1,2.817054860055066,277.64667496981474,276.1733953636667,2.3934023169800143,0.2490820729378637,27.64279,26.226,11.83999,169.62056,68.48584,7.72405
2023-05-17 02:00:00,2024-07-17 00:00:00,3.1,2.817054860055066,277.64667496981474,276.1733953636667,2.3934023169800143,0.2490820729378637,30.77655,28.52353,34.85058,164.83981,68.15502,7.73546
2023-05-17 03:00:00,2024-07-17 00:00:00,3.1,2.817054860055066,277.64667496981474,276.1733953636667,2.3934023169800143,0.2490820729378637,34.92431,30.9686,56.22815,161.16466,68.0578,7.8709
2023-05-17 04:00:00,2024-07-17 00:00:00,3.1,3.147874816148767,280.60149532197977,276.92259071914964,59.36527213994621,0.579076107718524,37.24038,31.90248,77.76941,158.79521,68.47886,7.86056
2023-05-17 05:00:00,2024-07-17 00:00:00,3.1,3.147874816148767,280.60149532197977,276.92259071914964,59.36527213994621,0.579076107718524,42.07676,32.36462,108.03403,157.27949,66.61167,7.87497
2023-05-17 06:00:00,2024-07-17 00:00:00,3.1,3.147874816148767,280.60149532197977,276.92259071914964,59.36527213994621,0.579076107718524,45.01286,34.67981,157.53643,156.86807,67.43126,7.71107
2023-05-17 07:00:00,2024-07-17 00:00:00,3.1,3.476840312972897,282.88411093585546,277.05279005544423,59.36527213994621,0.579076107718524,56.78784,36.77928,168.42931,153.63254,67.85427,7.71455
2023-05-17 08:00:00,2024-07-17 00:00:00,3.1,3.476840312972897,282.88411093585546,277.05279005544423,59.36527213994621,0.579076107718524,62.35773,37.09868,189.76709,156.59332,67.63858,7.96287
2023-05-17 09:00:00,2024-07-17 00:00:00,3.1,3.476840312972897,282.88411093585546,277.05279005544423,59.36527213994621,0.579076107718524,59.77333,36.60442,203.02976,154.60287,67.79993,8.08035
2023-05-17 10:00:00,2024-07-17 00:00:00,3.1,3.502370798658286,283.00130914717096,277.93237273659497,271.11597536073515,0.9695338879699276,65.7823,35.34667,199.55327,156.59236,68.19513,8.07738
2023-05-17 11:00:00,2024-07-17 00:00:00,3.1,3.502370798658286,283.00130914717096,277.93237273659497,271.11597536073515,0.9695338879699276,60.45296,35.6473,176.12257,163.19872,67.89393,8.12025
2023-05-17 12:00:00,2024-07-17 00:00:00,3.1,3.502370798658286,283.00130914717096,277.93237273659497,271.11597536073515,0.9695338879699276,60.87283,36.10301,146.39347,167.2824,67.90275,8.1549
2023-05-17 13:00:00,2024-07-17 00:00:00,3.1,3.29831866169584,282.0082337539295,279.04258004701785,129.04031591182027,0.774285604529597,58.27991,36.81828,117.12346,168.46821,67.99628,8.19525
2023-05-17 14:00:00,2024-07-17 00:00:00,3.1,3.29831866169584,282.0082337539295,279.04258004701785,129.04031591182027,0.774285604529597,62.75242,38.19591,94.59041,165.74357,68.20878,8.19808
2023-05-17 15:00:00,2024-07-17 00:00:00,3.1,3.29831866169584,282.0082337539295,279.04258004701785,129.04031591182027,0.774285604529597,65.5589,38.76057,70.3608,166.31453,67.72691,8.2207
2023-05-17 16:00:00,2024-07-17 00:00:00,3.1,3.0071464319308983,281.14361035284526,279.1450094820199,80.35539889215858,1.6747286429168402,69.35212,37.03063,43.82038,162.70742,67.56367,8.37387
2023-05-17 17:00:00,2024-07-17 00:00:00,3.1,3.0071464319308983,281.14361035284526,279.1450094820199,80.35539889215858,1.6747286429168402,65.28302,36.15895,0.60208,160.90506,68.03822,8.33167
2023-05-17 18:00:00,2024-07-17 00:00:00,3.1,3.0071464319308983,281.14361035284526,279.1450094820199,80.35539889215858,1.6747286429168402,65.49512,35.94699,0.0,163.01287,68.36517,8.21035
2023-05-17 19:00:00,2024-07-17 00:00:00,3.1,3.4648233992163195,280.6759126591337,279.0575811194816,0.4564855077651674,1.086296215287871,65.55479,30.43402,0.0,162.29997,68.64122,8.33254
2023-05-17 20:00:00,2024-07-17 00:00:00,3.1,3.4648233992163195,280.6759126591337,279.0575811194816,0.4564855077651674,1.086296215287871,67.04995,27.87808,0.0,158.20464,68.53406,8.44935
2023-05-17 21:00:00,2024-07-17 00:00:00,3.1,3.4648233992163195,280.6759126591337,279.0575811194816,0.4564855077651674,1.086296215287871,62.03854,26.991,0.0,154.22771,68.43529,8.40592
2023-05-17 22:00:00,2024-07-17 00:00:00,3.1,3.855753285808741,280.5278176764119,279.3529956792248,0.2277108774351708,2.3212985026528585,58.14104,26.03245,0.0,151.05364,68.43826,8.4165
2023-05-17 23:00:00,2024-07-17 00:00:00,3.1,3.855753285808741,280.5278176764119,279.3529956792248,0.2277108774351708,2.3212985026528585,58.69378,25.70315,0.0,149.76553,68.62833,8.54281
