UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_solar_production_forecast,avg_other_production_forecast
2023-11-09 05:00:00,2024-07-17 00:00:00,3.1,4.309140525847708,296.6045598533847,292.86577688509783,0.0,0.1031662476977968,9846.50206,2897.55803,0.0,663.68604
2023-11-09 06:00:00,2024-07-17 00:00:00,3.1,4.309140525847708,296.6045598533847,292.86577688509783,0.0,0.1031662476977968,8790.80576,2908.84261,0.0,604.10553
2023-11-09 07:00:00,2024-07-17 00:00:00,3.1,3.8053641071941664,296.512811101657,293.1238433961664,0.0,0.0918313161679783,7931.77615,2918.33808,0.0,588.14471
2023-11-09 08:00:00,2024-07-17 00:00:00,3.1,3.8053641071941664,296.512811101657,293.1238433961664,0.0,0.0918313161679783,7334.90148,2902.40645,0.0,609.58105
2023-11-09 09:00:00,2024-07-17 00:00:00,3.1,3.8053641071941664,296.512811101657,293.1238433961664,0.0,0.0918313161679783,6825.86887,2899.74379,0.0,650.47143
2023-11-09 10:00:00,2024-07-17 00:00:00,3.1,3.622530784273405,296.57831251789264,293.34645947266114,0.3877762657152195,0.1740358109332523,6764.05053,2912.75823,0.0,665.40583
2023-11-09 11:00:00,2024-07-17 00:00:00,3.1,3.622530784273405,296.57831251789264,293.34645947266114,0.3877762657152195,0.1740358109332523,7232.15344,2924.27773,0.0,667.7924
2023-11-09 12:00:00,2024-07-17 00:00:00,3.1,3.622530784273405,296.57831251789264,293.34645947266114,0.3877762657152195,0.1740358109332523,7539.15059,2948.33287,0.02719,743.00055
2023-11-09 13:00:00,2024-07-17 00:00:00,3.1,3.815179572884104,298.65966865466726,293.75790974766164,248.59744051957085,0.0886593244448387,8338.88021,2941.48827,0.0,820.52597
2023-11-09 14:00:00,2024-07-17 00:00:00,3.1,3.815179572884104,298.65966865466726,293.75790974766164,248.59744051957085,0.0886593244448387,9240.35867,2939.60212,0.0,853.31212
2023-11-09 15:00:00,2024-07-17 00:00:00,3.1,3.815179572884104,298.65966865466726,293.75790974766164,248.59744051957085,0.0886593244448387,10109.27013,2939.00008,0.0,855.65453
2023-11-09 16:00:00,2024-07-17 00:00:00,3.1,3.910875625748275,300.14942200147027,293.3998084806718,428.364727406762,0.2028239048357066,10940.2325,2941.23849,0.00035,854.92655
2023-11-09 17:00:00,2024-07-17 00:00:00,3.1,3.910875625748275,300.14942200147027,293.3998084806718,428.364727406762,0.2028239048357066,11932.64307,2946.49158,0.0,865.09425
