datetime,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_solar_production_forecast,avg_other_production_forecast
2023-08-29 23:00:00,2023-08-30 02:35:36,3.0,8.288826837519885,302.1748478323299,297.4895292361913,455.5058804522704,5.55693529445526,14499.83896,3692.3314,12444.99023,5078333.82751
2023-08-30 00:00:00,2023-08-30 02:35:36,3.0,8.288826837519885,302.1748478323299,297.4895292361913,455.5058804522704,5.55693529445526,14188.78064,3701.14645,0.0,2074329.33121
2023-08-30 01:00:00,2023-08-30 02:35:36,3.0,8.506382880177279,301.5443263933147,297.6194411083751,281.947466576714,7.066987166931854,13533.42917,3705.80836,0.0,2265218.29877
2023-08-30 02:00:00,2023-08-30 02:35:36,3.0,8.506382880177279,301.5443263933147,297.6194411083751,281.947466576714,7.066987166931854,12726.91737,3714.83329,0.0,2050325.77194
2023-08-30 03:00:00,2023-08-30 02:35:36,3.0,8.506382880177279,301.5443263933147,297.6194411083751,281.947466576714,7.066987166931854,11847.91401,3719.30939,0.0,1508629.77692
2023-08-30 04:00:00,2023-08-30 02:35:36,3.0,8.880529159967466,301.30448950226435,297.6753262410481,0.0,8.627615644054472,10843.76813,3718.9248,1914.09534,938722.57622
2023-08-30 05:00:00,2023-08-30 02:35:36,3.0,8.880529159967466,301.30448950226435,297.6753262410481,0.0,8.627615644054472,9949.59919,3708.87994,917.3905,454091.0733
2023-08-30 06:00:00,2023-08-30 02:35:36,3.0,8.880529159967466,301.30448950226435,297.6753262410481,0.0,8.627615644054472,8870.24222,3713.20778,0.0,66063.00621
2023-08-30 07:00:00,2023-08-30 02:35:36,3.0,9.459478534460828,301.0971111549478,297.69877765777403,0.0,9.981867899125628,8020.63369,3676.5209,977.34814,0.0
2023-08-30 08:00:00,2023-08-30 02:35:36,3.0,9.459478534460828,301.0971111549478,297.69877765777403,0.0,9.981867899125628,7553.14242,3677.54649,0.0,0.0
2023-08-30 09:00:00,2023-08-30 02:35:36,3.0,9.459478534460828,301.0971111549478,297.69877765777403,0.0,9.981867899125628,7248.75756,3682.04455,0.0,0.0
2023-08-30 10:00:00,2023-08-30 02:35:36,3.0,10.339164628505092,301.0540572822086,297.7755450015695,0.0,11.754067791316784,7410.15991,3712.24971,0.0,0.0
2023-08-30 11:00:00,2023-08-30 02:35:36,3.0,10.339164628505092,301.0540572822086,297.7755450015695,0.0,11.754067791316784,7746.26862,3712.07382,236.75252,35455.8063
2023-08-30 12:00:00,2023-08-30 02:35:36,3.0,10.339164628505092,301.0540572822086,297.7755450015695,0.0,11.754067791316784,8434.82241,3713.59616,0.0,241292.20797
2023-08-30 13:00:00,2023-08-30 02:35:36,3.0,11.318226814502626,301.76895358337936,297.8263470837765,3.941774111759576,14.709905142234453,9436.35305,3710.90657,0.0,330032.87542
2023-08-30 14:00:00,2023-08-30 02:35:36,3.0,11.318226814502626,301.76895358337936,297.8263470837765,3.941774111759576,14.709905142234453,10525.33227,3704.99431,0.0,291179.44259
2023-08-30 15:00:00,2023-08-30 02:35:36,3.0,11.318226814502626,301.76895358337936,297.8263470837765,3.941774111759576,14.709905142234453,11457.66775,3705.82347,0.0,139303.64351
2023-08-30 16:00:00,2023-08-30 02:35:36,3.0,11.572560669507654,302.1888033461413,297.79373051209706,224.41198917343087,17.800444135946655,12600.52936,3672.77904,0.0,0.0
2023-08-30 17:00:00,2023-08-30 02:35:36,3.0,11.572560669507654,302.1888033461413,297.79373051209706,224.41198917343087,17.800444135946655,13385.01722,3699.17813,1366.36646,0.0
2023-08-30 18:00:00,2023-08-30 02:35:36,3.0,11.572560669507654,302.1888033461413,297.79373051209706,224.41198917343087,17.800444135946655,14094.89972,3716.00101,0.0,0.0
2023-08-30 19:00:00,2023-08-30 02:35:36,3.0,10.946344124404373,301.94277814208294,297.6124896663965,322.5783023012166,20.319001450619385,14410.72848,3686.969,0.0,0.0
2023-08-30 20:00:00,2023-08-30 02:35:36,3.0,10.946344124404373,301.94277814208294,297.6124896663965,322.5783023012166,20.319001450619385,14915.64298,3660.80365,1066.64111,115470.39256
2023-08-30 21:00:00,2023-08-30 02:35:36,3.0,10.946344124404373,301.94277814208294,297.6124896663965,322.5783023012166,20.319001450619385,14863.29675,3662.55122,322.63962,452558.49775
2023-08-30 22:00:00,2023-08-30 02:35:36,3.0,9.760941292929186,301.32584949281136,297.2926951319204,408.23917453979993,22.688635485115952,14834.40781,3661.79902,979.47095,899647.70273
2023-08-30 23:00:00,2023-08-30 02:35:36,3.0,9.760941292929186,301.32584949281136,297.2926951319204,408.23917453979993,22.688635485115952,14392.54457,3681.57425,0.0,1395905.99815
2023-08-31 00:00:00,2023-08-30 02:35:36,3.0,9.760941292929186,301.32584949281136,297.2926951319204,408.23917453979993,22.688635485115952,13993.94226,3690.53284,0.0,1205497.1217
