UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_nuclear_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast
2023-06-23 02:00:00,2024-07-17 00:00:00,3.1,1.9810317299614049,282.4562376106318,278.8368501463465,0.0,0.0,971.84872,429.17024,0.0,5.81108
2023-06-23 03:00:00,2024-07-17 00:00:00,3.1,1.9810317299614049,282.4562376106318,278.8368501463465,0.0,0.0,966.50919,670.29291,0.0,6.86633
2023-06-23 04:00:00,2024-07-17 00:00:00,3.1,1.783972748186779,286.7852608861003,279.95924428804824,52.72419028200864,0.0,975.5677,1035.34032,0.0,7.86562
2023-06-23 05:00:00,2024-07-17 00:00:00,3.1,1.783972748186779,286.7852608861003,279.95924428804824,52.72419028200864,0.0,982.74208,1416.20148,73.92654,8.70468
2023-06-23 06:00:00,2024-07-17 00:00:00,3.1,1.783972748186779,286.7852608861003,279.95924428804824,52.72419028200864,0.0,989.32096,1720.78549,189.36271,9.06596
2023-06-23 07:00:00,2024-07-17 00:00:00,3.1,2.844695988324778,292.06488498736843,279.21010258533033,574.9899085465017,0.0,987.30764,1784.35665,267.91737,9.00058
2023-06-23 08:00:00,2024-07-17 00:00:00,3.1,2.844695988324778,292.06488498736843,279.21010258533033,574.9899085465017,0.0,1020.38555,1717.36669,361.27086,9.25939
2023-06-23 09:00:00,2024-07-17 00:00:00,3.1,2.844695988324778,292.06488498736843,279.21010258533033,574.9899085465017,0.0,1027.08964,1676.51076,471.1365,9.87612
2023-06-23 10:00:00,2024-07-17 00:00:00,3.1,3.455281376003113,294.90176601532954,279.4535678652386,739.1301737168604,0.0,996.86616,1585.55443,544.53811,10.45692
2023-06-23 11:00:00,2024-07-17 00:00:00,3.1,3.455281376003113,294.90176601532954,279.4535678652386,739.1301737168604,0.0,1010.78922,1376.27584,530.19208,10.71882
2023-06-23 12:00:00,2024-07-17 00:00:00,3.1,3.455281376003113,294.90176601532954,279.4535678652386,739.1301737168604,0.0,968.02619,1103.75153,532.25574,10.52893
2023-06-23 13:00:00,2024-07-17 00:00:00,3.1,3.5595821275507253,294.9235584315951,280.66203419774337,822.0228560090264,0.0066911134482619,1007.96064,894.19998,474.50108,10.27355
2023-06-23 14:00:00,2024-07-17 00:00:00,3.1,3.5595821275507253,294.9235584315951,280.66203419774337,822.0228560090264,0.0066911134482619,1005.66069,1110.24353,410.84402,10.49572
2023-06-23 15:00:00,2024-07-17 00:00:00,3.1,3.5595821275507253,294.9235584315951,280.66203419774337,822.0228560090264,0.0066911134482619,1004.83136,1442.8553,283.35256,10.8777
2023-06-23 16:00:00,2024-07-17 00:00:00,3.1,2.505881118986696,291.27600629647054,283.8478375821951,606.1952112907525,0.0200362618169233,1030.1837,1888.3633,185.82322,11.17065
2023-06-23 17:00:00,2024-07-17 00:00:00,3.1,2.505881118986696,291.27600629647054,283.8478375821951,606.1952112907525,0.0200362618169233,1027.07448,2240.26743,135.81153,11.64118
2023-06-23 18:00:00,2024-07-17 00:00:00,3.1,2.505881118986696,291.27600629647054,283.8478375821951,606.1952112907525,0.0200362618169233,1022.41214,2440.03705,44.48558,12.30213
2023-06-23 19:00:00,2024-07-17 00:00:00,3.1,1.867282682262383,285.9123063867531,282.21842453789327,25.580721976894708,0.018919408242158,1030.48409,2227.53466,0.0,12.37137
2023-06-23 20:00:00,2024-07-17 00:00:00,3.1,1.867282682262383,285.9123063867531,282.21842453789327,25.580721976894708,0.018919408242158,1032.8819,1883.00575,0.0,12.81911
2023-06-23 21:00:00,2024-07-17 00:00:00,3.1,1.867282682262383,285.9123063867531,282.21842453789327,25.580721976894708,0.018919408242158,1031.54717,1574.55994,0.0,12.03237
2023-06-23 22:00:00,2024-07-17 00:00:00,3.1,1.7634627481218734,284.4271594871046,281.39013324356665,12.789939359690788,0.0274635509928568,1025.91124,1293.90673,0.0,11.35955
2023-06-23 23:00:00,2024-07-17 00:00:00,3.1,1.7634627481218734,284.4271594871046,281.39013324356665,12.789939359690788,0.0274635509928568,1032.25429,1094.69094,11.03882,11.912
2023-06-24 00:00:00,2024-07-17 00:00:00,3.1,1.7634627481218734,284.4271594871046,281.39013324356665,12.789939359690788,0.0274635509928568,982.16664,655.05639,16.31887,5.69779
2023-06-24 01:00:00,2024-07-17 00:00:00,3.1,1.6760057896167098,283.43180728059497,280.6278996599666,0.0,0.0011135036645952,973.76358,456.48173,0.0,5.54614
2023-06-24 02:00:00,2024-07-17 00:00:00,3.1,1.6760057896167098,283.43180728059497,280.6278996599666,0.0,0.0011135036645952,964.28487,368.65436,0.0,5.81108
2023-06-24 03:00:00,2024-07-17 00:00:00,3.1,1.6760057896167098,283.43180728059497,280.6278996599666,0.0,0.0011135036645952,958.94025,609.03117,0.0,6.86633
2023-06-24 04:00:00,2024-07-17 00:00:00,3.1,1.19135119916497,287.7893945509302,281.82038820541925,52.4451407103952,0.0014857928262037,968.01043,963.44603,0.0,7.86562
2023-06-24 05:00:00,2024-07-17 00:00:00,3.1,1.19135119916497,287.7893945509302,281.82038820541925,52.4451407103952,0.0014857928262037,975.17443,1329.29098,133.9565,8.70468
2023-06-24 06:00:00,2024-07-17 00:00:00,3.1,1.19135119916497,287.7893945509302,281.82038820541925,52.4451407103952,0.0014857928262037,981.72728,1615.50156,305.27974,9.06596
2023-06-24 07:00:00,2024-07-17 00:00:00,3.1,2.288150551961268,292.99447838572746,281.782255822729,52.4451407103952,0.0014857928262037,979.68054,1671.46795,437.40222,9.00058
2023-06-24 08:00:00,2024-07-17 00:00:00,3.1,2.288150551961268,292.99447838572746,281.782255822729,52.4451407103952,0.0014857928262037,1012.76304,1608.74826,593.19481,9.25939
2023-06-24 09:00:00,2024-07-17 00:00:00,3.1,2.288150551961268,292.99447838572746,281.782255822729,52.4451407103952,0.0014857928262037,1019.46434,1574.46008,762.62909,9.87612
2023-06-24 10:00:00,2024-07-17 00:00:00,3.1,2.68705145023371,295.90904106135105,281.7538217305895,725.6681936465282,0.0197044150034074,989.31468,1496.65506,873.54101,10.45692
2023-06-24 11:00:00,2024-07-17 00:00:00,3.1,2.68705145023371,295.90904106135105,281.7538217305895,725.6681936465282,0.0197044150034074,1003.19893,1317.16713,853.60419,10.71882
2023-06-24 12:00:00,2024-07-17 00:00:00,3.1,2.68705145023371,295.90904106135105,281.7538217305895,725.6681936465282,0.0197044150034074,960.61887,1086.33684,834.41451,10.52893
2023-06-24 13:00:00,2024-07-17 00:00:00,3.1,2.7342200911199965,296.25483241468635,282.3515043267082,813.7384131493975,0.0200514546481995,1000.43,903.85764,725.8672,10.27355
2023-06-24 14:00:00,2024-07-17 00:00:00,3.1,2.7342200911199965,296.25483241468635,282.3515043267082,813.7384131493975,0.0200514546481995,998.16348,1079.28297,616.68057,10.49572
2023-06-24 15:00:00,2024-07-17 00:00:00,3.1,2.7342200911199965,296.25483241468635,282.3515043267082,813.7384131493975,0.0200514546481995,997.33485,1364.81946,414.58478,10.8777
2023-06-24 16:00:00,2024-07-17 00:00:00,3.1,1.825290385295249,292.681692192745,285.80011438074234,604.1290468887046,0.0778286692864608,1022.66873,1729.82555,271.62154,11.17065
2023-06-24 17:00:00,2024-07-17 00:00:00,3.1,1.825290385295249,292.681692192745,285.80011438074234,604.1290468887046,0.0778286692864608,1019.57587,2018.20838,191.53249,11.64118
2023-06-24 18:00:00,2024-07-17 00:00:00,3.1,1.825290385295249,292.681692192745,285.80011438074234,604.1290468887046,0.0778286692864608,1014.92262,2162.73939,63.33161,12.30213
2023-06-24 19:00:00,2024-07-17 00:00:00,3.1,1.6983533304526297,287.0495063585171,283.065580762933,25.89595922405001,0.0277937158962577,1022.95246,1953.63423,0.0,12.37137
2023-06-24 20:00:00,2024-07-17 00:00:00,3.1,1.6983533304526297,287.0495063585171,283.065580762933,25.89595922405001,0.0277937158962577,1025.32802,1629.35463,0.0,12.81911
2023-06-24 21:00:00,2024-07-17 00:00:00,3.1,1.6983533304526297,287.0495063585171,283.065580762933,25.89595922405001,0.0277937158962577,1024.04726,1345.48986,0.0,12.03237
2023-06-24 22:00:00,2024-07-17 00:00:00,3.1,1.6562339557610513,285.7434624170781,281.8628767013979,12.948029512233424,0.0329956657430557,1018.41922,1085.08468,0.0,11.35955
2023-06-24 23:00:00,2024-07-17 00:00:00,3.1,1.6562339557610513,285.7434624170781,281.8628767013979,12.948029512233424,0.0329956657430557,1024.81095,905.2708,6.82202,11.912
