,Biomass,Fossil Gas,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Hydro Water Reservoir,Other,Solar,Wind Onshore,Wind Offshore 
2019-07-19 10:00:00+01:00,327.0,3478.0,1.0,870.0,8.0,742.0,3.0,613.0,1.0,514.0,1.0,35.0,356.0,228.0,
2019-07-19 11:00:00+01:00,325.0,3534.0,1.0,871.0,8.0,837.0,3.0,686.0,1.0,639.0,1.0,35.0,394.0,266.0,
2019-07-19 12:00:00+01:00,324.0,3546.0,1.0,871.0,7.0,722.0,2.0,641.0,1.0,567.0,1.0,35.0,427.0,373.0,
2019-07-19 13:00:00+01:00,328.0,3460.0,1.0,870.0,7.0,191.0,3.0,411.0,2.0,421.0,1.0,36.0,440.0,541.0,
2019-07-19 14:00:00+01:00,323.0,3412.0,1.0,781.0,7.0,129.0,3.0,179.0,2.0,90.0,1.0,34.0,435.0,774.0,
2019-07-19 15:00:00+01:00,329.0,3362.0,1.0,603.0,16.0,115.0,3.0,157.0,2.0,142.0,1.0,34.0,410.0,1052.0,
2019-07-19 16:00:00+01:00,323.0,3427.0,1.0,575.0,15.0,119.0,4.0,148.0,2.0,168.0,1.0,35.0,362.0,1335.0,
2019-07-19 17:00:00+01:00,328.0,3413.0,1.0,575.0,12.0,107.0,4.0,169.0,2.0,135.0,1.0,35.0,294.0,1573.0,
2019-07-19 18:00:00+01:00,327.0,3427.0,1.0,570.0,12.0,173.0,4.0,525.0,1.0,140.0,1.0,35.0,204.0,1725.0,
2019-07-19 19:00:00+01:00,331.0,3521.0,1.0,491.0,11.0,363.0,3.0,608.0,2.0,197.0,1.0,36.0,78.0,1859.0,
2019-07-19 20:00:00+01:00,331.0,3154.0,1.0,481.0,11.0,350.0,4.0,789.0,1.0,144.0,1.0,36.0,9.0,1985.0,
2019-07-19 21:00:00+01:00,331.0,3095.0,2.0,480.0,12.0,59.0,4.0,619.0,2.0,127.0,1.0,36.0,0.0,2085.0,
2019-07-19 22:00:00+01:00,333.0,2903.0,5.0,490.0,14.0,4.0,17.0,416.0,2.0,0.0,1.0,35.0,0.0,2119.0,
2019-07-19 23:00:00+01:00,336.0,2025.0,12.0,568.0,14.0,0.0,186.0,341.0,2.0,34.0,1.0,34.0,0.0,2155.0,
2019-07-20 00:00:00+01:00,333.0,1090.0,20.0,541.0,13.0,0.0,34.0,122.0,2.0,0.0,1.0,34.0,0.0,2201.0,
2019-07-20 01:00:00+01:00,334.0,934.0,15.0,458.0,12.0,0.0,70.0,24.0,2.0,0.0,1.0,34.0,0.0,2278.0,
2019-07-20 02:00:00+01:00,335.0,943.0,12.0,276.0,12.0,0.0,155.0,18.0,2.0,0.0,1.0,35.0,0.0,2236.0,
2019-07-20 03:00:00+01:00,334.0,1081.0,11.0,220.0,12.0,0.0,213.0,18.0,2.0,0.0,1.0,34.0,0.0,2136.0,
2019-07-20 04:00:00+01:00,332.0,1010.0,11.0,210.0,12.0,0.0,213.0,17.0,2.0,0.0,1.0,34.0,0.0,2001.0,
2019-07-20 05:00:00+01:00,329.0,957.0,9.0,211.0,12.0,0.0,213.0,15.0,2.0,0.0,1.0,33.0,0.0,1968.0,
2019-07-20 06:00:00+01:00,322.0,1057.0,8.0,209.0,11.0,0.0,182.0,18.0,2.0,3.0,1.0,30.0,2.0,1890.0,
2019-07-20 07:00:00+01:00,327.0,1188.0,7.0,344.0,11.0,74.0,3.0,35.0,2.0,89.0,1.0,30.0,52.0,1605.0,
2019-07-20 08:00:00+01:00,325.0,1338.0,5.0,500.0,11.0,108.0,3.0,407.0,2.0,225.0,1.0,30.0,176.0,1343.0,
2019-07-20 09:00:00+01:00,331.0,1464.0,6.0,511.0,12.0,197.0,3.0,486.0,2.0,306.0,1.0,32.0,288.0,1117.0,
2019-07-20 10:00:00+01:00,337.0,1520.0,5.0,511.0,12.0,274.0,3.0,512.0,2.0,500.0,1.0,34.0,375.0,887.0,
2019-07-20 11:00:00+01:00,339.0,1470.0,6.0,511.0,13.0,325.0,3.0,527.0,2.0,626.0,1.0,35.0,430.0,796.0,
2019-07-20 12:00:00+01:00,337.0,1497.0,7.0,514.0,11.0,395.0,3.0,843.0,1.0,664.0,1.0,35.0,458.0,724.0,
2019-07-20 13:00:00+01:00,336.0,1432.0,8.0,513.0,11.0,408.0,3.0,756.0,1.0,549.0,1.0,34.0,466.0,760.0,
2019-07-20 14:00:00+01:00,335.0,1297.0,8.0,513.0,13.0,129.0,3.0,546.0,2.0,408.0,1.0,35.0,461.0,1006.0,
2019-07-20 15:00:00+01:00,338.0,1209.0,8.0,546.0,11.0,0.0,4.0,192.0,2.0,11.0,1.0,35.0,437.0,1253.0,
2019-07-20 16:00:00+01:00,339.0,1098.0,8.0,398.0,11.0,0.0,94.0,27.0,2.0,18.0,1.0,35.0,389.0,1453.0,
2019-07-20 17:00:00+01:00,335.0,1041.0,9.0,329.0,11.0,0.0,3.0,24.0,2.0,13.0,1.0,34.0,315.0,1611.0,
2019-07-20 18:00:00+01:00,333.0,1065.0,11.0,395.0,11.0,0.0,4.0,79.0,2.0,15.0,1.0,33.0,207.0,1760.0,
2019-07-20 19:00:00+01:00,336.0,1091.0,12.0,551.0,11.0,11.0,4.0,209.0,2.0,388.0,1.0,33.0,82.0,1736.0,
2019-07-20 20:00:00+01:00,338.0,1084.0,12.0,575.0,11.0,203.0,3.0,652.0,2.0,397.0,1.0,34.0,11.0,1602.0,
2019-07-20 21:00:00+01:00,338.0,1117.0,8.0,577.0,12.0,207.0,3.0,581.0,2.0,384.0,1.0,34.0,0.0,1572.0,
2019-07-20 22:00:00+01:00,334.0,996.0,8.0,576.0,12.0,60.0,3.0,238.0,2.0,260.0,1.0,33.0,0.0,1590.0,
2019-07-20 23:00:00+01:00,338.0,1035.0,8.0,576.0,11.0,0.0,4.0,143.0,2.0,141.0,1.0,33.0,0.0,1481.0,
2019-07-21 00:00:00+01:00,339.0,975.0,7.0,419.0,11.0,0.0,4.0,19.0,2.0,1.0,1.0,33.0,0.0,1384.0,
2019-07-21 01:00:00+01:00,337.0,865.0,8.0,319.0,12.0,0.0,5.0,18.0,2.0,0.0,1.0,33.0,0.0,1283.0,
2019-07-21 02:00:00+01:00,335.0,913.0,7.0,205.0,12.0,0.0,119.0,21.0,2.0,0.0,1.0,33.0,0.0,1294.0,
2019-07-21 03:00:00+01:00,340.0,942.0,7.0,203.0,12.0,0.0,162.0,18.0,2.0,0.0,1.0,32.0,0.0,1322.0,
2019-07-21 04:00:00+01:00,331.0,937.0,7.0,202.0,11.0,0.0,213.0,25.0,2.0,0.0,1.0,31.0,0.0,1297.0,
2019-07-21 05:00:00+01:00,328.0,1047.0,7.0,201.0,12.0,0.0,212.0,25.0,2.0,6.0,1.0,30.0,0.0,1249.0,
2019-07-21 06:00:00+01:00,324.0,965.0,7.0,201.0,11.0,0.0,103.0,19.0,2.0,12.0,1.0,29.0,2.0,1250.0,
2019-07-21 07:00:00+01:00,326.0,962.0,8.0,201.0,11.0,0.0,264.0,20.0,2.0,0.0,1.0,29.0,47.0,1219.0,
2019-07-21 08:00:00+01:00,330.0,1174.0,6.0,216.0,11.0,0.0,250.0,22.0,2.0,10.0,1.0,32.0,161.0,908.0,
2019-07-21 09:00:00+01:00,332.0,1281.0,5.0,215.0,12.0,0.0,159.0,55.0,2.0,10.0,1.0,32.0,274.0,637.0,
2019-07-21 10:00:00+01:00,336.0,1333.0,6.0,260.0,11.0,0.0,48.0,114.0,2.0,7.0,1.0,32.0,363.0,478.0,
2019-07-21 11:00:00+01:00,336.0,1347.0,6.0,418.0,11.0,5.0,5.0,268.0,2.0,130.0,1.0,30.0,418.0,348.0,
2019-07-21 12:00:00+01:00,328.0,1368.0,6.0,564.0,11.0,225.0,5.0,630.0,2.0,190.0,1.0,30.0,440.0,246.0,
2019-07-21 13:00:00+01:00,324.0,1311.0,8.0,575.0,11.0,436.0,5.0,609.0,2.0,190.0,1.0,28.0,451.0,273.0,
2019-07-21 14:00:00+01:00,321.0,1306.0,9.0,575.0,12.0,67.0,5.0,469.0,2.0,133.0,1.0,28.0,441.0,478.0,
2019-07-21 15:00:00+01:00,324.0,1163.0,9.0,547.0,11.0,0.0,5.0,84.0,2.0,11.0,1.0,29.0,416.0,741.0,
2019-07-21 16:00:00+01:00,322.0,1224.0,7.0,373.0,11.0,0.0,5.0,53.0,2.0,60.0,1.0,30.0,371.0,925.0,
2019-07-21 17:00:00+01:00,320.0,1429.0,9.0,417.0,11.0,2.0,5.0,160.0,2.0,102.0,1.0,30.0,297.0,995.0,
2019-07-21 18:00:00+01:00,316.0,1519.0,12.0,514.0,14.0,236.0,5.0,245.0,2.0,115.0,1.0,31.0,190.0,983.0,
2019-07-21 19:00:00+01:00,319.0,1886.0,7.0,572.0,25.0,253.0,4.0,370.0,2.0,288.0,1.0,32.0,70.0,875.0,
2019-07-21 20:00:00+01:00,315.0,1975.0,6.0,576.0,31.0,502.0,4.0,467.0,2.0,636.0,1.0,31.0,8.0,833.0,
2019-07-21 21:00:00+01:00,325.0,2104.0,6.0,576.0,32.0,736.0,4.0,646.0,2.0,755.0,1.0,35.0,0.0,864.0,
2019-07-21 22:00:00+01:00,323.0,1986.0,6.0,575.0,34.0,110.0,5.0,407.0,2.0,281.0,1.0,32.0,0.0,845.0,
2019-07-21 23:00:00+01:00,324.0,2026.0,6.0,576.0,37.0,89.0,3.0,455.0,2.0,109.0,1.0,30.0,0.0,842.0,
2019-07-22 00:00:00+01:00,324.0,1969.0,6.0,497.0,38.0,2.0,3.0,18.0,2.0,1.0,1.0,32.0,0.0,833.0,
2019-07-22 01:00:00+01:00,321.0,1834.0,6.0,285.0,40.0,0.0,3.0,17.0,2.0,0.0,1.0,31.0,0.0,819.0,
2019-07-22 02:00:00+01:00,323.0,1757.0,6.0,200.0,42.0,0.0,4.0,18.0,2.0,0.0,1.0,29.0,0.0,840.0,
2019-07-22 03:00:00+01:00,320.0,1855.0,6.0,246.0,33.0,0.0,40.0,17.0,2.0,0.0,1.0,30.0,0.0,850.0,
2019-07-22 04:00:00+01:00,327.0,1906.0,7.0,506.0,11.0,0.0,120.0,16.0,2.0,0.0,1.0,29.0,0.0,835.0,
2019-07-22 05:00:00+01:00,324.0,1823.0,12.0,871.0,0.0,0.0,119.0,17.0,2.0,0.0,1.0,26.0,0.0,730.0,
2019-07-22 06:00:00+01:00,323.0,1857.0,5.0,1183.0,0.0,0.0,3.0,79.0,2.0,8.0,1.0,22.0,1.0,696.0,
2019-07-22 07:00:00+01:00,327.0,2430.0,1.0,1490.0,0.0,0.0,3.0,258.0,2.0,172.0,1.0,22.0,41.0,728.0,
2019-07-22 08:00:00+01:00,328.0,3281.0,1.0,1637.0,0.0,134.0,3.0,439.0,2.0,224.0,1.0,25.0,144.0,686.0,
2019-07-22 09:00:00+01:00,324.0,3487.0,1.0,1630.0,0.0,58.0,3.0,324.0,2.0,138.0,1.0,25.0,253.0,559.0,
2019-07-22 10:00:00+01:00,322.0,3549.0,1.0,1641.0,0.0,13.0,3.0,338.0,2.0,96.0,1.0,26.0,344.0,360.0,
2019-07-22 11:00:00+01:00,318.0,3501.0,1.0,1711.0,0.0,197.0,3.0,457.0,2.0,44.0,1.0,25.0,405.0,261.0,
2019-07-22 12:00:00+01:00,317.0,3506.0,1.0,1755.0,0.0,90.0,3.0,428.0,2.0,37.0,1.0,25.0,435.0,157.0,
2019-07-22 13:00:00+01:00,299.0,3516.0,1.0,1755.0,0.0,115.0,3.0,459.0,2.0,34.0,1.0,24.0,440.0,118.0,
2019-07-22 14:00:00+01:00,297.0,3525.0,1.0,1755.0,0.0,220.0,4.0,609.0,2.0,83.0,1.0,24.0,432.0,133.0,
2019-07-22 15:00:00+01:00,306.0,3509.0,1.0,1754.0,0.0,237.0,3.0,604.0,2.0,139.0,1.0,24.0,403.0,208.0,
2019-07-22 16:00:00+01:00,301.0,3516.0,1.0,1755.0,0.0,235.0,4.0,761.0,2.0,168.0,1.0,24.0,353.0,281.0,
2019-07-22 17:00:00+01:00,298.0,3415.0,1.0,1754.0,0.0,127.0,3.0,658.0,2.0,133.0,1.0,24.0,276.0,429.0,
2019-07-22 18:00:00+01:00,300.0,3457.0,1.0,1755.0,0.0,64.0,3.0,353.0,2.0,165.0,1.0,25.0,173.0,615.0,
2019-07-22 19:00:00+01:00,300.0,3487.0,1.0,1755.0,0.0,67.0,3.0,142.0,2.0,170.0,1.0,25.0,67.0,814.0,
2019-07-22 20:00:00+01:00,302.0,3362.0,1.0,1755.0,0.0,218.0,3.0,539.0,2.0,368.0,1.0,24.0,7.0,902.0,
2019-07-22 21:00:00+01:00,307.0,3275.0,2.0,1755.0,0.0,3.0,4.0,398.0,2.0,182.0,1.0,24.0,0.0,864.0,
2019-07-22 22:00:00+01:00,309.0,2811.0,6.0,1755.0,0.0,0.0,4.0,222.0,2.0,210.0,1.0,23.0,0.0,805.0,
2019-07-22 23:00:00+01:00,323.0,2644.0,9.0,1756.0,0.0,0.0,4.0,223.0,2.0,116.0,1.0,24.0,0.0,749.0,
2019-07-23 00:00:00+01:00,323.0,2022.0,8.0,1515.0,0.0,0.0,4.0,18.0,2.0,1.0,1.0,24.0,0.0,736.0,
2019-07-23 01:00:00+01:00,321.0,1877.0,8.0,1322.0,0.0,0.0,90.0,15.0,2.0,0.0,1.0,25.0,0.0,775.0,
2019-07-23 02:00:00+01:00,329.0,1869.0,8.0,1150.0,0.0,0.0,178.0,17.0,2.0,0.0,1.0,27.0,0.0,807.0,
2019-07-23 03:00:00+01:00,333.0,1782.0,8.0,993.0,0.0,0.0,82.0,18.0,2.0,0.0,1.0,27.0,0.0,857.0,
2019-07-23 04:00:00+01:00,329.0,1933.0,9.0,912.0,0.0,0.0,352.0,19.0,2.0,0.0,1.0,30.0,0.0,1244.0,
2019-07-23 05:00:00+01:00,330.0,2059.0,5.0,1271.0,0.0,0.0,496.0,15.0,2.0,1.0,1.0,29.0,0.0,1668.0,
2019-07-23 06:00:00+01:00,327.0,2580.0,4.0,1554.0,0.0,0.0,939.0,15.0,2.0,10.0,1.0,27.0,1.0,1795.0,
2019-07-23 07:00:00+01:00,331.0,3343.0,2.0,1757.0,0.0,0.0,220.0,24.0,2.0,33.0,1.0,27.0,41.0,1616.0,
2019-07-23 08:00:00+01:00,335.0,3369.0,1.0,1756.0,0.0,29.0,228.0,39.0,2.0,54.0,1.0,31.0,133.0,1360.0,
2019-07-23 09:00:00+01:00,339.0,3430.0,2.0,1754.0,0.0,110.0,31.0,198.0,2.0,54.0,1.0,29.0,229.0,1008.0,
2019-07-23 10:00:00+01:00,333.0,3314.0,2.0,1754.0,0.0,109.0,100.0,310.0,2.0,48.0,1.0,29.0,320.0,751.0,
2019-07-23 11:00:00+01:00,339.0,3501.0,2.0,1752.0,0.0,109.0,4.0,751.0,2.0,162.0,1.0,30.0,381.0,561.0,
2019-07-23 12:00:00+01:00,355.0,3400.0,2.0,1752.0,0.0,2.0,3.0,668.0,2.0,26.0,1.0,32.0,425.0,410.0,
2019-07-23 13:00:00+01:00,355.0,3366.0,2.0,1755.0,0.0,0.0,3.0,247.0,2.0,22.0,1.0,33.0,444.0,350.0,
2019-07-23 14:00:00+01:00,356.0,3361.0,2.0,1756.0,0.0,44.0,3.0,682.0,2.0,11.0,1.0,31.0,441.0,521.0,
2019-07-23 15:00:00+01:00,368.0,3054.0,2.0,1754.0,0.0,65.0,3.0,688.0,1.0,89.0,1.0,30.0,407.0,942.0,
2019-07-23 16:00:00+01:00,362.0,3444.0,2.0,1756.0,0.0,442.0,4.0,688.0,1.0,204.0,1.0,31.0,360.0,1237.0,
2019-07-23 17:00:00+01:00,359.0,3550.0,2.0,1756.0,0.0,716.0,3.0,987.0,1.0,598.0,1.0,31.0,285.0,1211.0,
2019-07-23 18:00:00+01:00,346.0,3658.0,2.0,1756.0,0.0,768.0,2.0,906.0,1.0,737.0,1.0,32.0,189.0,980.0,
2019-07-23 19:00:00+01:00,355.0,3466.0,2.0,1756.0,0.0,728.0,2.0,994.0,1.0,824.0,1.0,33.0,73.0,1163.0,
2019-07-23 20:00:00+01:00,353.0,3464.0,2.0,1756.0,0.0,726.0,2.0,912.0,1.0,856.0,1.0,33.0,8.0,1289.0,
2019-07-23 21:00:00+01:00,340.0,3626.0,2.0,1756.0,0.0,754.0,3.0,931.0,2.0,824.0,1.0,32.0,0.0,1145.0,
2019-07-23 22:00:00+01:00,344.0,3182.0,4.0,1756.0,0.0,269.0,3.0,208.0,3.0,302.0,1.0,32.0,0.0,831.0,
2019-07-23 23:00:00+01:00,340.0,2522.0,9.0,1756.0,0.0,61.0,3.0,107.0,3.0,54.0,1.0,31.0,0.0,604.0,
2019-07-24 00:00:00+01:00,340.0,2115.0,10.0,1617.0,0.0,0.0,3.0,17.0,2.0,19.0,1.0,31.0,0.0,597.0,
2019-07-24 01:00:00+01:00,341.0,1917.0,9.0,1616.0,0.0,0.0,3.0,17.0,2.0,1.0,1.0,31.0,0.0,513.0,
2019-07-24 02:00:00+01:00,337.0,1865.0,9.0,1456.0,0.0,0.0,3.0,79.0,2.0,44.0,1.0,32.0,0.0,530.0,
2019-07-24 03:00:00+01:00,330.0,1789.0,8.0,1366.0,0.0,0.0,3.0,104.0,2.0,31.0,1.0,29.0,0.0,592.0,
2019-07-24 04:00:00+01:00,336.0,1830.0,9.0,1535.0,0.0,0.0,26.0,156.0,2.0,20.0,1.0,30.0,0.0,612.0,
2019-07-24 05:00:00+01:00,330.0,1998.0,6.0,1591.0,0.0,0.0,117.0,93.0,2.0,20.0,1.0,24.0,0.0,595.0,
2019-07-24 06:00:00+01:00,335.0,2160.0,4.0,1676.0,0.0,1.0,3.0,162.0,2.0,40.0,1.0,21.0,2.0,595.0,
2019-07-24 07:00:00+01:00,337.0,3154.0,2.0,1757.0,0.0,63.0,3.0,411.0,1.0,307.0,1.0,22.0,48.0,463.0,
2019-07-24 08:00:00+01:00,335.0,3472.0,1.0,1756.0,0.0,289.0,3.0,745.0,2.0,440.0,1.0,24.0,168.0,284.0,
2019-07-24 09:00:00+01:00,340.0,3381.0,1.0,1757.0,0.0,321.0,3.0,766.0,2.0,479.0,1.0,26.0,284.0,220.0,
2019-07-24 10:00:00+01:00,360.0,3420.0,1.0,1756.0,0.0,274.0,3.0,836.0,1.0,404.0,1.0,28.0,373.0,224.0,
2019-07-24 11:00:00+01:00,372.0,3497.0,1.0,1757.0,0.0,451.0,3.0,995.0,2.0,502.0,1.0,28.0,424.0,300.0,
2019-07-24 12:00:00+01:00,364.0,3351.0,1.0,1756.0,0.0,223.0,3.0,716.0,2.0,332.0,1.0,28.0,448.0,493.0,
2019-07-24 13:00:00+01:00,341.0,3375.0,1.0,1756.0,0.0,0.0,7.0,596.0,2.0,72.0,1.0,28.0,455.0,689.0,
2019-07-24 14:00:00+01:00,337.0,3381.0,1.0,1676.0,0.0,0.0,53.0,313.0,2.0,12.0,1.0,28.0,447.0,795.0,
2019-07-24 15:00:00+01:00,340.0,3314.0,1.0,1675.0,0.0,106.0,3.0,317.0,2.0,22.0,1.0,28.0,427.0,874.0,
2019-07-24 16:00:00+01:00,343.0,3475.0,1.0,1755.0,0.0,620.0,2.0,722.0,2.0,547.0,1.0,27.0,385.0,1004.0,
2019-07-24 17:00:00+01:00,336.0,3489.0,1.0,1755.0,0.0,471.0,3.0,511.0,2.0,541.0,1.0,27.0,314.0,1059.0,
2019-07-24 18:00:00+01:00,335.0,3612.0,1.0,1755.0,0.0,475.0,3.0,653.0,2.0,563.0,1.0,27.0,207.0,1004.0,
2019-07-24 19:00:00+01:00,350.0,3582.0,1.0,1756.0,0.0,623.0,2.0,847.0,2.0,562.0,1.0,27.0,80.0,1093.0,
2019-07-24 20:00:00+01:00,357.0,3560.0,1.0,1756.0,0.0,758.0,2.0,967.0,2.0,500.0,1.0,28.0,8.0,1228.0,
2019-07-24 21:00:00+01:00,360.0,3515.0,1.0,1756.0,0.0,688.0,4.0,883.0,2.0,476.0,1.0,27.0,0.0,1311.0,
2019-07-24 22:00:00+01:00,355.0,2829.0,4.0,1451.0,0.0,34.0,181.0,93.0,2.0,28.0,1.0,27.0,0.0,1478.0,
2019-07-24 23:00:00+01:00,364.0,2472.0,9.0,906.0,28.0,0.0,104.0,66.0,2.0,0.0,1.0,27.0,0.0,1417.0,
2019-07-25 00:00:00+01:00,366.0,2045.0,9.0,738.0,28.0,0.0,298.0,17.0,2.0,0.0,1.0,28.0,0.0,1229.0,
2019-07-25 01:00:00+01:00,371.0,1785.0,8.0,466.0,21.0,0.0,296.0,18.0,2.0,0.0,1.0,29.0,0.0,1039.0,
2019-07-25 02:00:00+01:00,367.0,1831.0,8.0,315.0,16.0,0.0,213.0,20.0,2.0,0.0,1.0,33.0,0.0,873.0,
2019-07-25 03:00:00+01:00,361.0,1764.0,7.0,323.0,17.0,0.0,127.0,18.0,2.0,0.0,1.0,34.0,0.0,752.0,
2019-07-25 04:00:00+01:00,354.0,1925.0,8.0,481.0,15.0,0.0,119.0,17.0,2.0,0.0,1.0,33.0,0.0,682.0,
2019-07-25 05:00:00+01:00,353.0,2347.0,6.0,734.0,14.0,0.0,169.0,16.0,2.0,0.0,1.0,33.0,0.0,740.0,
2019-07-25 06:00:00+01:00,357.0,2732.0,3.0,867.0,12.0,0.0,119.0,172.0,2.0,34.0,1.0,33.0,1.0,668.0,
2019-07-25 07:00:00+01:00,356.0,3234.0,2.0,868.0,11.0,63.0,51.0,336.0,2.0,218.0,1.0,33.0,27.0,593.0,
2019-07-25 08:00:00+01:00,361.0,3618.0,1.0,867.0,9.0,610.0,2.0,694.0,2.0,437.0,1.0,34.0,85.0,444.0,
2019-07-25 09:00:00+01:00,361.0,3476.0,1.0,869.0,9.0,331.0,3.0,668.0,2.0,219.0,1.0,35.0,147.0,435.0,
2019-07-25 10:00:00+01:00,350.0,3408.0,2.0,871.0,9.0,153.0,3.0,713.0,2.0,215.0,1.0,34.0,266.0,513.0,
2019-07-25 11:00:00+01:00,355.0,3584.0,2.0,872.0,9.0,569.0,3.0,881.0,2.0,537.0,1.0,35.0,376.0,570.0,
2019-07-25 12:00:00+01:00,359.0,3504.0,1.0,872.0,9.0,610.0,3.0,850.0,2.0,368.0,1.0,36.0,434.0,550.0,
2019-07-25 13:00:00+01:00,356.0,3585.0,1.0,872.0,9.0,694.0,3.0,833.0,1.0,272.0,1.0,36.0,426.0,669.0,
2019-07-25 14:00:00+01:00,355.0,3511.0,2.0,852.0,10.0,106.0,3.0,671.0,2.0,26.0,1.0,35.0,427.0,742.0,
2019-07-25 15:00:00+01:00,360.0,3377.0,3.0,871.0,10.0,170.0,3.0,646.0,2.0,158.0,1.0,34.0,389.0,902.0,
2019-07-25 16:00:00+01:00,352.0,3408.0,1.0,872.0,9.0,693.0,2.0,671.0,2.0,496.0,1.0,34.0,348.0,1045.0,
2019-07-25 17:00:00+01:00,360.0,3401.0,1.0,872.0,11.0,706.0,2.0,744.0,2.0,761.0,1.0,35.0,253.0,1154.0,
2019-07-25 18:00:00+01:00,363.0,3449.0,1.0,871.0,9.0,949.0,2.0,788.0,2.0,710.0,1.0,35.0,151.0,1182.0,
2019-07-25 19:00:00+01:00,372.0,3448.0,1.0,871.0,8.0,1081.0,1.0,863.0,1.0,688.0,1.0,35.0,61.0,1360.0,
2019-07-25 20:00:00+01:00,378.0,3418.0,1.0,871.0,8.0,595.0,2.0,565.0,2.0,305.0,1.0,35.0,7.0,1633.0,
2019-07-25 21:00:00+01:00,380.0,3451.0,1.0,871.0,10.0,333.0,12.0,357.0,2.0,124.0,1.0,35.0,0.0,1970.0,
2019-07-25 22:00:00+01:00,383.0,2677.0,4.0,786.0,9.0,1.0,273.0,66.0,2.0,2.0,1.0,35.0,0.0,2177.0,
2019-07-25 23:00:00+01:00,387.0,2482.0,9.0,511.0,16.0,0.0,231.0,16.0,2.0,0.0,1.0,35.0,0.0,2398.0,
2019-07-26 00:00:00+01:00,386.0,2074.0,9.0,348.0,16.0,0.0,532.0,16.0,2.0,0.0,1.0,34.0,0.0,2536.0,
2019-07-26 01:00:00+01:00,377.0,1804.0,8.0,245.0,16.0,0.0,618.0,15.0,2.0,0.0,1.0,34.0,0.0,2515.0,
2019-07-26 02:00:00+01:00,378.0,1894.0,8.0,213.0,15.0,0.0,604.0,17.0,2.0,0.0,1.0,33.0,0.0,2318.0,
2019-07-26 03:00:00+01:00,361.0,1870.0,7.0,213.0,14.0,0.0,453.0,17.0,2.0,0.0,1.0,33.0,0.0,2272.0,
2019-07-26 04:00:00+01:00,371.0,1832.0,8.0,274.0,14.0,0.0,237.0,19.0,2.0,0.0,1.0,33.0,0.0,2098.0,
2019-07-26 05:00:00+01:00,369.0,2085.0,5.0,334.0,14.0,0.0,124.0,19.0,2.0,9.0,1.0,33.0,0.0,2098.0,
2019-07-26 06:00:00+01:00,369.0,2446.0,3.0,422.0,12.0,73.0,4.0,95.0,2.0,161.0,1.0,31.0,2.0,1969.0,
2019-07-26 07:00:00+01:00,365.0,3350.0,2.0,564.0,12.0,545.0,3.0,352.0,1.0,447.0,1.0,33.0,41.0,1837.0,
2019-07-26 08:00:00+01:00,360.0,3687.0,1.0,573.0,12.0,923.0,2.0,580.0,1.0,493.0,1.0,33.0,157.0,1734.0,
2019-07-26 09:00:00+01:00,355.0,3671.0,1.0,573.0,12.0,481.0,2.0,594.0,2.0,189.0,1.0,34.0,258.0,1664.0,
2019-07-26 10:00:00+01:00,360.0,3647.0,1.0,574.0,13.0,126.0,3.0,551.0,2.0,130.0,1.0,35.0,347.0,1728.0,
2019-07-26 11:00:00+01:00,364.0,3580.0,1.0,575.0,14.0,143.0,3.0,625.0,2.0,67.0,1.0,35.0,404.0,1788.0,
2019-07-26 12:00:00+01:00,365.0,3609.0,1.0,467.0,12.0,0.0,3.0,456.0,2.0,55.0,1.0,35.0,461.0,1849.0,
2019-07-26 13:00:00+01:00,354.0,3602.0,1.0,289.0,13.0,0.0,3.0,639.0,2.0,48.0,1.0,35.0,485.0,1992.0,
2019-07-26 14:00:00+01:00,361.0,3588.0,1.0,206.0,15.0,0.0,3.0,344.0,2.0,1.0,1.0,34.0,479.0,2086.0,
2019-07-26 15:00:00+01:00,349.0,3251.0,1.0,201.0,12.0,0.0,3.0,208.0,2.0,0.0,1.0,34.0,457.0,2015.0,
2019-07-26 16:00:00+01:00,351.0,2982.0,1.0,260.0,11.0,0.0,3.0,69.0,2.0,0.0,1.0,34.0,409.0,2136.0,
2019-07-26 17:00:00+01:00,360.0,3290.0,1.0,218.0,11.0,0.0,3.0,77.0,2.0,0.0,1.0,34.0,335.0,2319.0,
2019-07-26 18:00:00+01:00,356.0,3608.0,1.0,201.0,11.0,0.0,5.0,30.0,2.0,0.0,1.0,32.0,221.0,2325.0,
2019-07-26 19:00:00+01:00,358.0,3422.0,1.0,234.0,11.0,0.0,53.0,31.0,2.0,1.0,1.0,32.0,86.0,2243.0,
2019-07-26 20:00:00+01:00,355.0,3224.0,1.0,333.0,11.0,0.0,3.0,45.0,2.0,11.0,1.0,30.0,9.0,1993.0,
2019-07-26 21:00:00+01:00,366.0,3163.0,4.0,408.0,11.0,0.0,3.0,166.0,2.0,115.0,1.0,32.0,0.0,1786.0,
2019-07-26 22:00:00+01:00,361.0,2499.0,11.0,510.0,12.0,0.0,3.0,649.0,2.0,110.0,1.0,31.0,0.0,1669.0,
2019-07-26 23:00:00+01:00,354.0,1802.0,13.0,243.0,15.0,84.0,3.0,298.0,2.0,120.0,1.0,29.0,0.0,1562.0,
