UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast,avg_other_production_forecast
2023-11-28 17:00:00,2024-07-17 00:00:00,3.1,1.783663758744108,274.6417518070747,264.29444941816786,88.52877136271877,0.0034136768883148,730.88107,1148.42098,8237.6626,42.98589,138.58295,138.37136
2023-11-28 18:00:00,2024-07-17 00:00:00,3.1,1.783663758744108,274.6417518070747,264.29444941816786,88.52877136271877,0.0034136768883148,753.84372,1145.72532,8039.0522,55.7111,145.70782,136.06945
2023-11-28 19:00:00,2024-07-17 00:00:00,3.1,2.0958211196202683,276.5016230755587,265.260757562024,380.1044580966404,2.065352869201901e-05,775.33007,1144.51776,7801.98029,64.07853,168.22573,135.50969
2023-11-28 20:00:00,2024-07-17 00:00:00,3.1,2.0958211196202683,276.5016230755587,265.260757562024,380.1044580966404,2.065352869201901e-05,784.00216,1141.25376,7549.91283,65.7749,191.39089,136.83438
2023-11-28 21:00:00,2024-07-17 00:00:00,3.1,2.0958211196202683,276.5016230755587,265.260757562024,380.1044580966404,2.065352869201901e-05,777.93156,1141.04317,7488.97522,70.39082,215.25873,135.02644
2023-11-28 22:00:00,2024-07-17 00:00:00,3.1,1.7689307659458366,272.2826891049812,265.67663373016995,275.946262719696,0.0001356935293534,762.66652,1142.09391,7553.27218,69.14124,243.98544,136.49686
2023-11-28 23:00:00,2024-07-17 00:00:00,3.1,1.7689307659458366,272.2826891049812,265.67663373016995,275.946262719696,0.0001356935293534,758.51113,1142.72981,7724.45816,57.24359,258.85544,136.25027
2023-11-29 00:00:00,2024-07-17 00:00:00,3.1,1.7689307659458366,272.2826891049812,265.67663373016995,275.946262719696,0.0001356935293534,735.6091,1148.92169,8431.50107,42.3873,149.89448,131.16943
2023-11-29 01:00:00,2024-07-17 00:00:00,3.1,1.7896459673242475,270.6297087939598,265.0876254536388,1.00644783837876,0.0006218943235433,727.7211,1149.93994,9036.9765,33.09187,144.1494,132.23994
2023-11-29 02:00:00,2024-07-17 00:00:00,3.1,1.7896459673242475,270.6297087939598,265.0876254536388,1.00644783837876,0.0006218943235433,715.60906,1151.80968,9561.10905,22.74762,131.49589,130.9074
2023-11-29 03:00:00,2024-07-17 00:00:00,3.1,1.7896459673242475,270.6297087939598,265.0876254536388,1.00644783837876,0.0006218943235433,706.62706,1152.93911,9595.56229,10.31159,121.77602,129.96784
2023-11-29 04:00:00,2024-07-17 00:00:00,3.1,1.6743776919292337,269.94861177007186,264.7914095036272,0.5032075764553257,0.0015973712958568,698.47905,1154.01429,9357.17747,0.94421,123.85977,129.49741
2023-11-29 05:00:00,2024-07-17 00:00:00,3.1,1.6743776919292337,269.94861177007186,264.7914095036272,0.5032075764553257,0.0015973712958568,687.01783,1153.85295,8960.39693,0.0,131.37542,130.55619
2023-11-29 06:00:00,2024-07-17 00:00:00,3.1,1.6743776919292337,269.94861177007186,264.7914095036272,0.5032075764553257,0.0015973712958568,669.89075,1153.34985,8336.15359,0.0,137.4631,132.47161
2023-11-29 07:00:00,2024-07-17 00:00:00,3.1,1.5827222015264726,269.4455307227501,264.59105701597696,0.0,0.0010920917236895,680.00946,1153.29321,7461.57589,0.0,141.21712,132.69363
2023-11-29 08:00:00,2024-07-17 00:00:00,3.1,1.5827222015264726,269.4455307227501,264.59105701597696,0.0,0.0010920917236895,682.06765,1150.62291,6712.04419,0.0,143.69799,133.03304
2023-11-29 09:00:00,2024-07-17 00:00:00,3.1,1.5827222015264726,269.4455307227501,264.59105701597696,0.0,0.0010920917236895,688.6692,1149.47988,6205.86535,0.0,120.44214,134.66239
2023-11-29 10:00:00,2024-07-17 00:00:00,3.1,1.5668196859489982,269.1092510835666,264.5370125974351,0.0,0.0220696291619411,700.43362,1148.95522,6039.35127,0.0,112.55809,137.26879
2023-11-29 11:00:00,2024-07-17 00:00:00,3.1,1.5668196859489982,269.1092510835666,264.5370125974351,0.0,0.0220696291619411,702.23733,1151.11072,6187.30467,0.0,111.30237,138.11471
2023-11-29 12:00:00,2024-07-17 00:00:00,3.1,1.5668196859489982,269.1092510835666,264.5370125974351,0.0,0.0220696291619411,700.29425,1153.56142,6674.64677,0.0,97.68241,137.04772
2023-11-29 13:00:00,2024-07-17 00:00:00,3.1,1.7278464767245876,269.1411299622156,264.7594713869576,1.0086442237545044,0.0811975229443842,684.62523,1153.04296,7261.44608,0.0,99.60528,138.15926
2023-11-29 14:00:00,2024-07-17 00:00:00,3.1,1.7278464767245876,269.1411299622156,264.7594713869576,1.0086442237545044,0.0811975229443842,674.6714,1152.08135,7750.43702,10.08285,118.73601,137.22284
2023-11-29 15:00:00,2024-07-17 00:00:00,3.1,1.7278464767245876,269.1411299622156,264.7594713869576,1.0086442237545044,0.0811975229443842,653.11304,1151.66786,8101.9685,25.03959,123.75343,136.98607
2023-11-29 16:00:00,2024-07-17 00:00:00,3.1,1.991309451645024,273.067492250546,265.7715705735513,71.39213067851028,0.3594817440607101,647.27342,1150.35702,8281.96802,36.10341,128.95747,137.67463
