UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast,avg_unknown_production_forecast
2023-09-30 14:00:00,2024-07-17 00:00:00,3.1,4.307157806131256,284.2155017092946,279.170024458096,197.7393122622105,0.1304636328048432,0.0,4416.91945,8335.38973,238.05541,3540.34239,504.55638
2023-09-30 15:00:00,2024-07-17 00:00:00,3.1,4.307157806131256,284.2155017092946,279.170024458096,197.7393122622105,0.1304636328048432,0.10712,4412.56942,8468.69984,170.5251,3541.56093,464.74786
2023-09-30 16:00:00,2024-07-17 00:00:00,3.1,3.5528674459984897,282.196877967796,279.022680406158,107.61487385734134,0.2304315411389065,0.04852,4415.63306,8458.97841,103.40255,3552.58571,426.52102
2023-09-30 17:00:00,2024-07-17 00:00:00,3.1,3.5528674459984897,282.196877967796,279.022680406158,107.61487385734134,0.2304315411389065,0.09945,4421.85765,8330.66413,43.78703,3596.09741,399.00474
2023-09-30 18:00:00,2024-07-17 00:00:00,3.1,3.5528674459984897,282.196877967796,279.022680406158,107.61487385734134,0.2304315411389065,0.15986,4413.62041,7937.05338,0.0,3662.8406,376.88061
2023-09-30 19:00:00,2024-07-17 00:00:00,3.1,3.279143894499319,281.5933279037177,278.9612282277059,0.0,0.04970345800509,0.09595,4418.57165,7360.8289,0.0,3707.31107,353.68204
2023-09-30 20:00:00,2024-07-17 00:00:00,3.1,3.279143894499319,281.5933279037177,278.9612282277059,0.0,0.04970345800509,0.0,4429.60311,6684.79939,0.0,3724.84432,330.74568
2023-09-30 21:00:00,2024-07-17 00:00:00,3.1,3.279143894499319,281.5933279037177,278.9612282277059,0.0,0.04970345800509,0.0,4449.88941,5974.201,0.0,3737.99559,323.2302
2023-09-30 22:00:00,2024-07-17 00:00:00,3.1,2.944265683190753,281.3418775520693,278.9216625769664,0.0,0.0806535939931142,0.0,4418.40828,5374.73522,0.0,3694.00664,328.68353
2023-09-30 23:00:00,2024-07-17 00:00:00,3.1,2.944265683190753,281.3418775520693,278.9216625769664,0.0,0.0806535939931142,0.06208,4411.78998,5059.16039,0.0,3675.21647,347.16466
2023-10-01 00:00:00,2024-07-17 00:00:00,3.1,2.944265683190753,281.3418775520693,278.9216625769664,0.0,0.0806535939931142,0.0,4384.97014,5089.58637,0.0,3033.65728,380.99817
2023-10-01 01:00:00,2024-07-17 00:00:00,3.1,2.846126770280132,281.34625343727345,278.9468433063575,0.0,0.0313732355906362,0.0508,4405.93733,5122.28152,0.0,3024.294,387.95514
2023-10-01 02:00:00,2024-07-17 00:00:00,3.1,2.846126770280132,281.34625343727345,278.9468433063575,0.0,0.0313732355906362,0.0,4387.86567,5178.8433,0.0,2996.72175,409.07252
2023-10-01 03:00:00,2024-07-17 00:00:00,3.1,2.846126770280132,281.34625343727345,278.9468433063575,0.0,0.0313732355906362,0.0,4355.45369,5395.08429,0.0,2937.10429,436.67637
2023-10-01 04:00:00,2024-07-17 00:00:00,3.1,3.023762133739811,281.61813847521694,279.2975272906733,2.485944993881262,0.0760575438003396,0.08676,4403.21544,5809.54385,5.9049,2840.96832,476.31973
2023-10-01 05:00:00,2024-07-17 00:00:00,3.1,3.023762133739811,281.61813847521694,279.2975272906733,2.485944993881262,0.0760575438003396,0.0,4418.02209,6297.65931,40.90565,2762.15168,506.49746
2023-10-01 06:00:00,2024-07-17 00:00:00,3.1,3.023762133739811,281.61813847521694,279.2975272906733,2.485944993881262,0.0760575438003396,0.00105,4426.05704,6726.7657,88.63504,2703.70159,533.32834
2023-10-01 07:00:00,2024-07-17 00:00:00,3.1,3.541546982467441,283.3067427021434,279.9661902967753,114.91428305908704,0.0560242617449313,0.0,4451.30299,6963.69831,165.11697,2619.52927,563.86461
2023-10-01 08:00:00,2024-07-17 00:00:00,3.1,3.541546982467441,283.3067427021434,279.9661902967753,114.91428305908704,0.0560242617449313,0.0,4458.55483,7134.4893,249.00608,2562.22611,592.99567
2023-10-01 09:00:00,2024-07-17 00:00:00,3.1,3.541546982467441,283.3067427021434,279.9661902967753,114.91428305908704,0.0560242617449313,0.0,4474.85124,7235.16744,316.71633,2558.65489,606.76999
2023-10-01 10:00:00,2024-07-17 00:00:00,3.1,3.9089550970093336,284.4193163769643,280.4112487217509,165.90093050924042,0.1900495888029775,0.0,4451.8973,7325.63279,359.03217,2558.91964,623.65178
2023-10-01 11:00:00,2024-07-17 00:00:00,3.1,3.9089550970093336,284.4193163769643,280.4112487217509,165.90093050924042,0.1900495888029775,0.0,4467.67817,7381.82576,366.80386,2585.00701,628.2128
2023-10-01 12:00:00,2024-07-17 00:00:00,3.1,3.9089550970093336,284.4193163769643,280.4112487217509,165.90093050924042,0.1900495888029775,0.0,4493.62678,7401.32075,341.55089,2594.53748,622.24409
2023-10-01 13:00:00,2024-07-17 00:00:00,3.1,3.7780310030850943,284.1929623774377,281.09487376875865,141.95594931656427,0.2313156816631933,0.0,4497.58725,7470.89924,295.42074,2624.84709,607.37438
2023-10-01 14:00:00,2024-07-17 00:00:00,3.1,3.7780310030850943,284.1929623774377,281.09487376875865,141.95594931656427,0.2313156816631933,0.0,4507.53324,7640.35012,234.51614,2649.45793,574.1493
2023-10-01 15:00:00,2024-07-17 00:00:00,3.1,3.7780310030850943,284.1929623774377,281.09487376875865,141.95594931656427,0.2313156816631933,0.10712,4503.50641,7725.22323,168.26831,2686.10153,545.20955
2023-10-01 16:00:00,2024-07-17 00:00:00,3.1,3.571984171182918,282.9515268039952,281.13301991676207,76.76591075301653,0.5983540875983058,0.04852,4506.54139,7733.34992,102.36686,2724.98143,515.07567
2023-10-01 17:00:00,2024-07-17 00:00:00,3.1,3.571984171182918,282.9515268039952,281.13301991676207,76.76591075301653,0.5983540875983058,0.09945,4512.66423,7699.16622,43.77573,2790.22499,491.6244
2023-10-01 18:00:00,2024-07-17 00:00:00,3.1,3.571984171182918,282.9515268039952,281.13301991676207,76.76591075301653,0.5983540875983058,0.15986,4504.4014,7527.60755,0.36851,2871.93074,470.86301
2023-10-01 19:00:00,2024-07-17 00:00:00,3.1,3.5453932984550893,282.52255524697694,281.07013145509427,0.0,0.3921056898178202,0.09595,4509.6766,7226.0938,0.0,2930.49916,444.09585
2023-10-01 20:00:00,2024-07-17 00:00:00,3.1,3.5453932984550893,282.52255524697694,281.07013145509427,0.0,0.3921056898178202,0.0,4520.59007,6826.73896,0.0,2971.2305,416.12764
2023-10-01 21:00:00,2024-07-17 00:00:00,3.1,3.5453932984550893,282.52255524697694,281.07013145509427,0.0,0.3921056898178202,0.0,4540.76939,6362.60278,0.0,3002.67496,402.3408
2023-10-01 22:00:00,2024-07-17 00:00:00,3.1,3.448257998512917,282.1891950968501,280.87888756844336,0.0,0.7056251061477368,0.0,4508.83771,5887.16414,0.0,2986.60456,398.61923
2023-10-01 23:00:00,2024-07-17 00:00:00,3.1,3.448257998512917,282.1891950968501,280.87888756844336,0.0,0.7056251061477368,0.06208,4502.21757,5550.47713,0.0,2992.27154,407.05135
2023-10-02 00:00:00,2024-07-17 00:00:00,3.1,3.448257998512917,282.1891950968501,280.87888756844336,0.0,0.7056251061477368,0.0,4476.44842,5114.58454,0.0,2447.99666,435.73489
2023-10-02 01:00:00,2024-07-17 00:00:00,3.1,3.2601854487515087,281.9845548824612,280.7215309723242,0.0,0.3985636079555752,0.0508,4497.39231,5122.16772,0.0,2452.86194,435.51257
2023-10-02 02:00:00,2024-07-17 00:00:00,3.1,3.2601854487515087,281.9845548824612,280.7215309723242,0.0,0.3985636079555752,0.0,4479.66638,5156.13562,0.0,2438.78228,449.97759
2023-10-02 03:00:00,2024-07-17 00:00:00,3.1,3.2601854487515087,281.9845548824612,280.7215309723242,0.0,0.3985636079555752,0.0,4448.34709,5364.89391,0.0,2395.44205,472.6348
2023-10-02 04:00:00,2024-07-17 00:00:00,3.1,3.2819049831513776,281.9491294164509,280.7150978832518,2.081961619781136,1.3545249413051577,0.08676,4495.12282,5784.39801,6.58321,2316.24534,507.6825
2023-10-02 05:00:00,2024-07-17 00:00:00,3.1,3.2819049831513776,281.9491294164509,280.7150978832518,2.081961619781136,1.3545249413051577,0.0,4509.43477,6289.62359,41.22899,2251.06717,534.60398
2023-10-02 06:00:00,2024-07-17 00:00:00,3.1,3.2819049831513776,281.9491294164509,280.7150978832518,2.081961619781136,1.3545249413051577,0.00105,4517.49853,6741.70866,88.28033,2206.61891,559.57234
2023-10-02 07:00:00,2024-07-17 00:00:00,3.1,3.535656933892148,283.53754388923926,280.91786388105254,2.081961619781136,1.3545249413051577,0.0,4542.55476,6999.30091,163.58753,2143.27458,589.7432
2023-10-02 08:00:00,2024-07-17 00:00:00,3.1,3.535656933892148,283.53754388923926,280.91786388105254,2.081961619781136,1.3545249413051577,0.0,4549.7643,7189.33455,246.07913,2105.08409,621.36557
2023-10-02 09:00:00,2024-07-17 00:00:00,3.1,3.535656933892148,283.53754388923926,280.91786388105254,2.081961619781136,1.3545249413051577,0.0,4565.55054,7303.49145,312.55637,2116.92283,639.03433
2023-10-02 10:00:00,2024-07-17 00:00:00,3.1,3.8865202882702174,284.5198162623763,280.4946337128335,142.89632974412854,2.0876232401217507,0.0,4542.66143,7395.63032,353.99459,2130.20611,660.9352
2023-10-02 11:00:00,2024-07-17 00:00:00,3.1,3.8865202882702174,284.5198162623763,280.4946337128335,142.89632974412854,2.0876232401217507,0.0,4558.38804,7440.20341,361.44292,2173.63199,672.42376
2023-10-02 12:00:00,2024-07-17 00:00:00,3.1,3.8865202882702174,284.5198162623763,280.4946337128335,142.89632974412854,2.0876232401217507,0.0,4583.82786,7441.3791,336.4618,2196.91359,673.92074
2023-10-02 13:00:00,2024-07-17 00:00:00,3.1,3.613202257188023,283.97743578348445,280.5361655880882,142.08997074453046,0.6688536412753235,0.0,4587.67124,7492.55569,291.03376,2244.25326,665.34702
2023-10-02 14:00:00,2024-07-17 00:00:00,3.1,3.613202257188023,283.97743578348445,280.5361655880882,142.08997074453046,0.6688536412753235,0.0,4597.54919,7648.91602,231.19383,2284.47963,638.92182
2023-10-02 15:00:00,2024-07-17 00:00:00,3.1,3.613202257188023,283.97743578348445,280.5361655880882,142.08997074453046,0.6688536412753235,0.10712,4593.84343,7728.48997,166.14987,2335.63589,615.85109
2023-10-02 16:00:00,2024-07-17 00:00:00,3.1,3.3054894005365245,282.05533886377634,280.04022050803223,77.67122913367936,1.0765480076453962,0.04852,4596.85037,7737.87494,101.39466,2385.92774,589.93916
2023-10-02 17:00:00,2024-07-17 00:00:00,3.1,3.3054894005365245,282.05533886377634,280.04022050803223,77.67122913367936,1.0765480076453962,0.09945,4602.87175,7711.72201,43.76512,2460.07421,568.47451
2023-10-02 18:00:00,2024-07-17 00:00:00,3.1,3.3054894005365245,282.05533886377634,280.04022050803223,77.67122913367936,1.0765480076453962,0.15986,4594.58378,7553.88188,1.04763,2547.90978,548.29665
2023-10-02 19:00:00,2024-07-17 00:00:00,3.1,3.5411269659010123,281.46482231434067,279.72104041790664,0.0,0.3277670088170601,0.09595,4600.18051,7264.8638,0.0,2612.2541,519.33404
2023-10-02 20:00:00,2024-07-17 00:00:00,3.1,3.5411269659010123,281.46482231434067,279.72104041790664,0.0,0.3277670088170601,0.0,4610.97674,6872.46756,0.0,2662.48926,488.63018
2023-10-02 21:00:00,2024-07-17 00:00:00,3.1,3.5411269659010123,281.46482231434067,279.72104041790664,0.0,0.3277670088170601,0.0,4631.05016,6408.48439,0.0,2701.42798,471.40202
2023-10-02 22:00:00,2024-07-17 00:00:00,3.1,3.961247730252511,281.12937641952766,279.4372999476977,0.0,0.7693217106309043,0.0,4598.67068,5923.29502,0.0,2696.79511,462.01555
2023-10-02 23:00:00,2024-07-17 00:00:00,3.1,3.961247730252511,281.12937641952766,279.4372999476977,0.0,0.7693217106309043,0.06208,4592.04901,5570.4376,0.0,2712.48189,464.32255
