UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_wind_production_forecast
2023-02-04 21:00:00,2024-07-17 00:00:00,3.1,3.370522527671807,285.5987500783657,275.6879024870766,540.5308699184036,0.0,1939.20146,1102.98418,487.87572
2023-02-04 22:00:00,2024-07-17 00:00:00,3.1,2.5885822358435373,281.02239966505647,275.8836752154539,350.0038960323672,0.0,1930.40713,1162.27349,469.01346
2023-02-04 23:00:00,2024-07-17 00:00:00,3.1,2.5885822358435373,281.02239966505647,275.8836752154539,350.0038960323672,0.0,1906.91542,1164.44262,466.39083
2023-02-05 00:00:00,2024-07-17 00:00:00,3.1,2.5885822358435373,281.02239966505647,275.8836752154539,350.0038960323672,0.0,1930.37388,1146.31953,642.73967
2023-02-05 01:00:00,2024-07-17 00:00:00,3.1,2.783739656119128,279.04382557330814,275.66150085680545,0.0001481290766551,5.1014772496969295e-05,1908.67097,1137.26739,624.83489
2023-02-05 02:00:00,2024-07-17 00:00:00,3.1,2.783739656119128,279.04382557330814,275.66150085680545,0.0001481290766551,5.1014772496969295e-05,1861.45809,1138.45915,629.82947
2023-02-05 03:00:00,2024-07-17 00:00:00,3.1,2.783739656119128,279.04382557330814,275.66150085680545,0.0001481290766551,5.1014772496969295e-05,1831.9902,1128.27652,617.52295
2023-02-05 04:00:00,2024-07-17 00:00:00,3.1,3.3219208373959264,278.2303646947928,275.7416179928458,8.232754948463158e-05,5.1014772496969295e-05,1798.12248,1143.75091,578.38809
2023-02-05 05:00:00,2024-07-17 00:00:00,3.1,3.3219208373959264,278.2303646947928,275.7416179928458,8.232754948463158e-05,5.1014772496969295e-05,1780.84863,1139.42017,519.33149
2023-02-05 06:00:00,2024-07-17 00:00:00,3.1,3.3219208373959264,278.2303646947928,275.7416179928458,8.232754948463158e-05,5.1014772496969295e-05,1754.13599,1130.1921,480.92569
